"China","Rússia","Irã","Países Baixos (Holanda)","Turquia","Espanha","Coreia do Sul","Argentina","Tailândia","Japão","Vietnã","Paquistão","Argélia","Taiwan (Formosa)","Noruega","Reino Unido","México","Itália","Arábia Saudita","Bangladesh","Bélgica","Portugal","Grécia","Romênia","Tunísia","França","Egito","Moçambique","Israel","Malásia","Indonésia","Líbano","Jordânia","Filipinas","Emirados Árabes Unidos","Estados Unidos","Virgens, Ilhas (Britânicas)","Paraguai","Suíça","Colômbia","Angola","Venezuela","Guiana","África do Sul","Nicarágua","Uruguai","Libéria","Singapura","Marshall, Ilhas","Hong Kong","Panamá","Tanzânia","Malta","Dinamarca","Canadá","Ucrânia","Cayman, Ilhas","Alemanha","Gana","Serra Leoa","Finlândia","Chile","Peru","Bolívia","Marrocos","Irlanda","Afeganistão","Senegal","Sudão","Chipre","Áustria","Turcas e Caicos, Ilhas","República Dominicana","Camboja","Bahamas","Barein","Porto Rico","Eslovênia","Eslováquia","Mianmar","Nigéria","Benin","Uganda","Nepal","Índia","Maurício","Bósnia-Herzegovina","Congo","Gâmbia","Cuba","Congo, República Democrática","Guiné Equatorial","Suriname"
145947568,11929361,0,3535183,0,940249,1781497,16928,19446568,268358,0,0,0,737219,NA,598035,NA,0,1236171,0,0,0,0,NA,NA,0,4925954,NA,0,0,NA,NA,NA,NA,0,0,0,188,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244697739,NA,0,12794331,0,61868745,4038363,NA,7181046,0,0,0,0,17676433,NA,14594139,0,609264,9936432,0,0,0,NA,0,2833693,3922134,11998021,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8245268,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659307,NA,NA,NA,NA,NA,NA,NA,NA,166776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595706535,NA,0,0,0,0,24005613,NA,9487314,0,0,0,0,7308904,NA,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250664252,0,755189,6049078,2023515,6651419,2777553,0,18824513,0,14346006,60461,0,5803918,NA,224388,0,326118,2024552,0,0,1110396,NA,NA,NA,0,2002542,NA,0,900121,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,194752,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
973495499,0,9851843,13086702,5863204,10196019,0,0,71541394,3139015,0,1825000,0,26649408,NA,4443725,0,0,661232,0,NA,0,NA,NA,0,0,12807330,NA,0,16059558,1581880,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,200593,NA,NA,NA,NA,NA,NA,NA,NA,NA,199685,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102436,NA,NA,NA
148588577,NA,15922432,6829083,1990266,17758956,5008750,NA,3047360,7845,0,120921,0,2103752,NA,0,NA,1192385,115446,0,NA,2260449,NA,281161,0,0,NA,NA,NA,306385,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,2004900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052008574,NA,23522216,0,0,0,0,NA,0,0,39642646,0,NA,4250962,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,394926,NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37744655,NA,5046918,42102,0,1342277,114342,NA,1315240,0,0,0,0,1037871,NA,1447,0,537775,0,0,NA,380311,NA,281391,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158568559,NA,0,3057286,0,6277351,0,0,6660141,0,8177833,0,NA,7136855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,376417,0,NA,NA,0,NA,NA,NA,58568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524762195,NA,0,0,NA,18263894,NA,NA,1509920,5754035,22251187,5892971,NA,11554915,0,1511320,NA,0,NA,0,NA,NA,NA,NA,NA,NA,2975006,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
